statefp	name	population_2025	area_km2	density_people_km2	density_log10	ring_count	point_count
01	Alabama	5193088	131185.561946	39.585819681	1.597539642	1	180
04	Arizona	7623818	294366.118294	25.899101582	1.413284699	1	158
05	Arkansas	3114791	134658.517854	23.131035820	1.364195081	1	219
06	California	39355309	403673.433805	97.492937866	1.988973158	6	462
08	Colorado	6012561	268418.973518	22.399910562	1.350246284	1	96
09	Connecticut	3688496	12541.999507	294.091544011	2.468482537	1	91
10	Delaware	1059952	5046.692239	210.029054637	2.322279378	1	54
12	Florida	23462518	138965.379385	168.837145653	2.227468001	4	380
13	Georgia	11302748	149485.762701	75.610866184	1.878584213	1	263
16	Idaho	2029733	214050.504522	9.482495753	0.976922657	1	266
17	Illinois	12719141	143778.206717	88.463622481	1.946764719	1	322
18	Indiana	6973333	92786.694938	75.154449726	1.875954699	1	218
19	Iowa	3238387	144660.344616	22.386141887	1.349979252	1	252
20	Kansas	2977220	211753.821560	14.059817094	1.147979671	1	169
21	Kentucky	4606864	102266.755818	45.047522659	1.653670912	1	330
22	Louisiana	4618189	111920.866908	41.262984532	1.615560637	1	299
23	Maine	1414874	79888.396620	17.710632080	1.248234061	2	250
24	Maryland	6265347	25151.223822	249.107043233	2.396386007	2	268
25	Massachusetts	7154084	20204.400635	354.085435606	2.549108064	3	191
26	Michigan	10127884	146621.709684	69.074927730	1.839320439	6	463
27	Minnesota	5830405	206244.791203	28.269344239	1.451315734	1	309
28	Mississippi	2954160	121534.116434	24.307248752	1.385735805	1	228
29	Missouri	6270541	178052.403953	35.217390278	1.546757170	1	314
30	Montana	1144694	376973.404582	3.036537820	0.482378695	1	244
31	Nebraska	2018006	198949.953125	10.143284622	1.006178612	1	204
32	Nevada	3282188	284537.045743	11.535186891	1.062024635	1	143
33	New Hampshire	1415342	23190.211616	61.031870836	1.785556683	1	117
34	New Jersey	9548215	19049.229866	501.238898746	2.700044767	1	164
35	New Mexico	2125498	314198.519809	6.764824994	0.830256566	1	106
36	New York	20002427	122049.155860	163.888286314	2.214547914	2	321
37	North Carolina	11197968	125935.965771	88.917950733	1.948989445	1	229
38	North Dakota	799358	178694.319927	4.473326294	0.650630578	1	127
39	Ohio	11900510	105824.130554	112.455542396	2.050980865	2	226
40	Oklahoma	4123288	177664.629521	23.208266109	1.365642695	1	235
41	Oregon	4273586	248630.421366	17.188508054	1.235238182	1	252
42	Pennsylvania	13059432	115881.476238	112.696458692	2.051910269	1	173
44	Rhode Island	1114521	2677.768885	416.212544049	2.619315165	2	52
45	South Carolina	5570274	77865.663223	71.536974957	1.854530571	1	193
46	South Dakota	935094	196341.670967	4.762585524	0.677842788	1	185
47	Tennessee	7315076	106770.544103	68.512116909	1.835767387	1	249
48	Texas	31709821	676656.702022	46.862494534	1.670825403	1	550
49	Utah	3538904	213921.882299	16.542973360	1.218613570	1	94
50	Vermont	644663	23872.594714	27.004312171	1.431433120	1	116
51	Virginia	8880107	102256.342555	86.841625450	1.938727944	2	323
53	Washington	8001020	172118.798160	46.485451244	1.667317051	2	234
54	West Virginia	1766147	62266.513826	28.364314805	1.452772297	1	239
55	Wisconsin	5972787	140294.555214	42.573191746	1.629136211	3	329
56	Wyoming	588753	251458.190512	2.341355431	0.369467347	1	96
